"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Lower Gorge",2019,0.272,0.108,0.093,0.262,0.506
"Duncan_Above Weir",2019,0.058,0.046,0.006,0.046,0.18
"Grays_Chinook",2020,0.404,0.146,0.142,0.398,0.691
"Elochoman_Skamokawa",2020,0.211,0.105,0.053,0.197,0.452
"Abernathy",2020,0.096,0.056,0.021,0.084,0.234
"Abernathy_Above AFTC",2020,0.111,0.065,0.024,0.098,0.269
"Mill",2020,0.124,0.073,0.026,0.109,0.301
"Germany",2020,0.123,0.075,0.024,0.108,0.309
"Upper Cowlitz and Cispus",2020,0.581,0.004,0.572,0.581,0.59
"Tilton",2020,0.819,0.004,0.81,0.819,0.828
"Lower Cowlitz",2020,0.083,0.078,0.006,0.059,0.299
"Delameter_Above Weir",2020,0.191,0.109,0.034,0.172,0.442
"Lacamas_Above Weir",2020,0.029,0.022,0.004,0.023,0.086
"Olequa_Above Weir",2020,0.061,0.034,0.013,0.054,0.144
"Ostrander_Above Weir",2020,0.138,0.077,0.031,0.123,0.322
"Green",2020,0.141,0.049,0.061,0.137,0.251
"Upper NF Toutle",2020,0,0.001,0,0,0.002
"NF_MS Toutle",2020,0.25,0.15,0.04,0.222,0.599
"SF Toutle",2020,0.061,0.034,0.014,0.055,0.144
"Coweeman",2020,0.162,0.072,0.051,0.152,0.327
"Kalama",2020,0.739,0.094,0.527,0.749,0.891
"Lower Lewis",2020,0.673,0.184,0.269,0.701,0.946
"Upper NF Lewis",2020,0.496,0.005,0.486,0.496,0.506
"Cedar",2020,0.248,0.065,0.131,0.244,0.384
"EF Lewis",2020,0.097,0.053,0.023,0.087,0.228
"Salmon Creek",2020,0.107,0.068,0.018,0.092,0.278
"Washougal",2020,0.609,0.068,0.472,0.611,0.736
"Lower Gorge",2020,0.094,0.074,0.011,0.073,0.293
"Duncan_Above Weir",2020,0.045,0.054,0.001,0.026,0.193
"Grays_Chinook",2021,0.558,0.07,0.418,0.559,0.693
"Elochoman_Skamokawa",2021,0.456,0.05,0.361,0.456,0.553
"Abernathy",2021,0.144,0.042,0.07,0.141,0.234
"Abernathy_Above AFTC",2021,0.146,0.043,0.072,0.142,0.239
"Mill",2021,0.144,0.043,0.07,0.14,0.237
"Germany",2021,0.141,0.042,0.07,0.137,0.234
"Upper Cowlitz and Cispus",2021,0.657,0.019,0.608,0.661,0.679
"Tilton",2021,0.586,0.034,0.5,0.593,0.628
"Lower Cowlitz",2021,0.112,0.072,0.016,0.097,0.291
"Delameter_Above Weir",2021,0.047,0.038,0.005,0.037,0.148
"Lacamas_Above Weir",2021,0.055,0.027,0.015,0.051,0.117
"Olequa_Above Weir",2021,0.171,0.106,0.027,0.149,0.431
"Ostrander_Above Weir",2021,0.444,0.076,0.296,0.443,0.593
"Green",2021,0.075,0.029,0.028,0.071,0.141
"Upper NF Toutle",2021,0,0.002,0,0,0.003
"NF_MS Toutle",2021,0.361,0.211,0.041,0.336,0.799
"SF Toutle",2021,0.109,0.036,0.05,0.106,0.189
"Coweeman",2021,0.22,0.064,0.108,0.215,0.357
"Kalama",2021,0.778,0.088,0.582,0.788,0.919
"Lower Lewis",2021,0.821,0.132,0.487,0.852,0.982
"Upper NF Lewis",2021,0.697,0.005,0.687,0.697,0.706
"Cedar",2021,0.336,0.061,0.222,0.334,0.46
"EF Lewis",2021,0.071,0.026,0.029,0.068,0.131
"Salmon Creek",2021,0.05,0.047,0.003,0.036,0.178
"Washougal",2021,0.157,0.071,0.046,0.147,0.319
"Lower Gorge",2021,0.049,0.036,0.006,0.041,0.141
"Duncan_Above Weir",2021,0.047,0.069,0.001,0.021,0.248
