"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Upper NF Lewis",2016,0.476,0.052,0.374,0.475,0.581
"Cedar",2016,0.461,0.05,0.363,0.461,0.559
"EF Lewis",2016,0.446,0.048,0.351,0.446,0.539
"Salmon Creek",2016,0.492,0.052,0.39,0.492,0.595
"Washougal",2016,0.475,0.045,0.386,0.476,0.564
"Lower Gorge",2016,0.5,0.044,0.413,0.499,0.589
"Duncan_Above Weir",2016,0.47,0.049,0.375,0.47,0.566
"Grays_Chinook",2017,0.496,0.035,0.427,0.496,0.563
"Elochoman_Skamokawa",2017,0.488,0.048,0.394,0.487,0.583
"Abernathy",2017,0.458,0.03,0.399,0.458,0.518
"Abernathy_Above AFTC",2017,0.463,0.029,0.406,0.463,0.52
"Mill",2017,0.471,0.031,0.412,0.471,0.531
"Germany",2017,0.463,0.031,0.404,0.463,0.524
"Upper Cowlitz and Cispus",2017,0.477,0.052,0.375,0.477,0.58
"Tilton",2017,0.476,0.053,0.371,0.476,0.579
"Lower Cowlitz",2017,0.479,0.047,0.389,0.479,0.571
"Delameter_Above Weir",2017,0.432,0.051,0.331,0.432,0.531
"Lacamas_Above Weir",2017,0.486,0.05,0.389,0.486,0.585
"Olequa_Above Weir",2017,0.474,0.051,0.373,0.474,0.574
"Ostrander_Above Weir",2017,0.502,0.049,0.408,0.501,0.601
"Green",2017,0.465,0.048,0.372,0.465,0.559
"Upper NF Toutle",2017,0.476,0.052,0.374,0.477,0.578
"NF_MS Toutle",2017,0.469,0.052,0.367,0.469,0.573
"SF Toutle",2017,0.446,0.054,0.341,0.447,0.55
"Coweeman",2017,0.474,0.049,0.378,0.473,0.569
"Kalama",2017,0.498,0.05,0.4,0.497,0.598
"Lower Lewis",2017,0.49,0.048,0.397,0.49,0.586
"Upper NF Lewis",2017,0.477,0.053,0.37,0.476,0.581
"Cedar",2017,0.414,0.053,0.308,0.414,0.516
"EF Lewis",2017,0.476,0.046,0.386,0.475,0.568
"Salmon Creek",2017,0.488,0.051,0.388,0.488,0.592
"Washougal",2017,0.457,0.043,0.374,0.457,0.541
"Lower Gorge",2017,0.48,0.049,0.383,0.48,0.576
"Duncan_Above Weir",2017,0.479,0.05,0.381,0.479,0.577
"Grays_Chinook",2018,0.499,0.037,0.426,0.499,0.572
