"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Lower Lewis",2021,0.466,0.053,0.368,0.467,0.577
"Upper NF Lewis",2021,0.473,0.056,0.366,0.47,0.58
"Cedar",2021,0.515,0.043,0.439,0.514,0.613
"EF Lewis",2021,0.422,0.031,0.362,0.423,0.48
"Salmon Creek",2021,0.444,0.051,0.337,0.444,0.537
"Washougal",2021,0.476,0.046,0.395,0.474,0.557
"Lower Gorge",2021,0.492,0.041,0.42,0.49,0.579
"Duncan_Above Weir",2021,0.453,0.035,0.378,0.457,0.514
"Grays_Chinook",2022,0.398,0.039,0.326,0.395,0.478
"Elochoman_Skamokawa",2022,0.524,0.042,0.45,0.521,0.61
"Abernathy",2022,0.465,0.043,0.388,0.463,0.556
"Abernathy_Above AFTC",2022,0.471,0.046,0.387,0.47,0.568
"Mill",2022,0.477,0.044,0.396,0.472,0.575
"Germany",2022,0.484,0.047,0.395,0.482,0.58
"Coal",2022,0.474,0.053,0.374,0.478,0.572
"Upper Cowlitz and Cispus",2022,0.458,0.055,0.37,0.454,0.572
"Tilton",2022,0.473,0.057,0.364,0.476,0.571
"Lower Cowlitz",2022,0.505,0.035,0.438,0.507,0.57
"Delameter_Above Weir",2022,0.499,0.045,0.405,0.5,0.584
"Lacamas_Above Weir",2022,0.501,0.053,0.406,0.498,0.613
"Olequa_Above Weir",2022,0.473,0.05,0.363,0.477,0.562
"Ostrander_Above Weir",2022,0.434,0.046,0.343,0.434,0.518
"Green",2022,0.461,0.045,0.379,0.459,0.555
"Upper NF Toutle",2022,0.467,0.051,0.367,0.47,0.566
"NF_MS Toutle",2022,0.481,0.052,0.372,0.48,0.583
"SF Toutle",2022,0.452,0.054,0.337,0.456,0.553
"Coweeman",2022,0.492,0.045,0.413,0.488,0.584
"Kalama",2022,0.478,0.044,0.386,0.48,0.56
"Lower Lewis",2022,0.532,0.047,0.451,0.529,0.623
"Upper NF Lewis",2022,0.476,0.057,0.367,0.474,0.591
"Cedar",2022,0.465,0.026,0.418,0.464,0.517
"EF Lewis",2022,0.447,0.041,0.378,0.443,0.534
"Salmon Creek",2022,0.475,0.05,0.375,0.477,0.57
"Washougal",2022,0.499,0.043,0.413,0.499,0.583
"Lower Gorge",2022,0.444,0.037,0.368,0.445,0.509
"Duncan_Above Weir",2022,0.49,0.042,0.409,0.49,0.571
"Grays_Chinook",2023,0.482,0.04,0.401,0.483,0.558
"Elochoman_Skamokawa",2023,0.481,0.04,0.407,0.481,0.563
"Abernathy",2023,0.462,0.041,0.379,0.464,0.54
"Abernathy_Above AFTC",2023,0.466,0.039,0.392,0.467,0.541
"Mill",2023,0.457,0.039,0.381,0.457,0.543
"Germany",2023,0.453,0.042,0.381,0.452,0.536
"Coal",2023,0.494,0.048,0.409,0.494,0.584
"Upper Cowlitz and Cispus",2023,0.474,0.048,0.387,0.475,0.565
"Tilton",2023,0.481,0.052,0.381,0.481,0.58
"Lower Cowlitz",2023,0.491,0.045,0.407,0.487,0.585
"Delameter_Above Weir",2023,0.473,0.046,0.387,0.472,0.563
"Lacamas_Above Weir",2023,0.453,0.049,0.366,0.452,0.543
"Olequa_Above Weir",2023,0.483,0.047,0.384,0.482,0.571
"Ostrander_Above Weir",2023,0.476,0.05,0.368,0.477,0.572
"Green",2023,0.5,0.041,0.419,0.501,0.574
"Upper NF Toutle",2023,0.47,0.052,0.359,0.468,0.566
"NF_MS Toutle",2023,0.486,0.048,0.397,0.486,0.584
"SF Toutle",2023,0.478,0.044,0.393,0.479,0.567
"Coweeman",2023,0.497,0.049,0.409,0.498,0.591
"Kalama",2023,0.514,0.044,0.429,0.52,0.592
"Lower Lewis",2023,0.466,0.057,0.363,0.466,0.58
"Upper NF Lewis",2023,0.47,0.055,0.352,0.468,0.569
"Cedar",2023,0.62,0.021,0.581,0.619,0.66
"EF Lewis",2023,0.492,0.041,0.416,0.491,0.575
"Salmon Creek",2023,0.451,0.047,0.359,0.449,0.539
"Washougal",2023,0.47,0.049,0.378,0.469,0.567
"Lower Gorge",2023,0.469,0.041,0.384,0.468,0.555
"Duncan_Above Weir",2023,0.462,0.052,0.351,0.463,0.554
