"Population","Year","Mean","sd","lower 95% CI","Median","Upper 95%CI"
"Mill, Abernathy, Germany, Coal",2022,0.299,0.062,0.185,0.306,0.415
"NF Lewis",2022,0.59,0.031,0.546,0.584,0.67
"NF Toutle",2022,0.175,0.08,0.066,0.159,0.363
"Salmon Creek",2022,0.087,0.069,0.011,0.067,0.269
"SF Toutle",2022,0.134,0.073,0.032,0.123,0.292
"Tilton",2022,0.554,0.01,0.533,0.554,0.573
"Upper Cowlitz and Cispus",2022,0.508,0.006,0.496,0.508,0.519
"Washougal",2022,0.379,0.092,0.199,0.375,0.561
"Coweeman",2023,0.119,0.058,0.027,0.112,0.246
"EF Lewis",2023,0.178,0.062,0.077,0.172,0.313
"Elochoman, Skamokawa",2023,0.162,0.078,0.046,0.149,0.325
"Grays, Chinook",2023,0.316,0.101,0.14,0.308,0.525
"Kalama",2023,0.529,0.093,0.349,0.531,0.705
"Lower Cowlitz",2023,0.182,0.048,0.121,0.172,0.296
"Lower Gorge",2023,0.102,0.088,0.009,0.075,0.344
"Mill, Abernathy, Germany, Coal",2023,0.154,0.028,0.107,0.152,0.213
"NF Lewis",2023,0.68,0.075,0.586,0.661,0.873
"NF Toutle",2023,0.213,0.059,0.11,0.208,0.351
"Salmon Creek",2023,0.164,0.115,0.024,0.134,0.422
"SF Toutle",2023,0.199,0.054,0.102,0.195,0.318
"Tilton",2023,0.835,0.022,0.779,0.841,0.862
"Upper Cowlitz and Cispus",2023,0.515,0.021,0.463,0.52,0.541
"Washougal",2023,0.285,0.123,0.073,0.276,0.555
